date,description,position,summary
2019-12-21,Chinese epidemiologists with the Chinese Center for Disease Control and Prevention published an article on 20th January 2020 stating that the first cluster of patients with 'pneumonia of an unknown cause' had been identified on 21st December 2019.,20,"Chinese
epidemiologists with"
2020-01-22,Public Health England announces it is moving the risk level to the British public from 'very low' to 'low'.,17,"Public Health
England it is"
2020-01-29,The UK's first two patients test positive for Coronavirus after two Chinese nationals from the same family staying at a hotel in York fall ill.,13,"The UK's first
two patients"
2020-01-29,A plane evacuating Britons from Wuhan arrives at RAF Brize Norton. Passengers go into a 14 day quarantine at a specialist hospital on Merseyside.,9,"A plane
evacuating Britons at"
2020-02-28,UK authorities confirm the first case of the illness to be passed on inside the country.,5,"UK authorities
confirm the of"
2020-03-10,"Nadine Dorries, a junior health minister, becomes the first MP to test positive for coronavirus.",1,"Nadine Dorries,
a junior the"
2020-03-16,"Boris Johnson begins daily press briefings, urging everybody in the UK to work from home and avoid pubs and restaurants to give the NHS time to cope with the pandemic.",23,"Boris Johnson
begins daily in"
2020-03-23,"Prime Minister Boris Johnson, in a televised address to the nation, says that Britons should only go outside to buy food, to exercise once a day, or to go to work if they absolutely cannot work from home. Citizens will face police fines for failure to comply with these new measures.",19,"Prime Minister
Boris Johnson,"
2020-03-27,UK Prime Minister Boris Johnson and Health Secretary Matt Hancock test positive for the coronavirus.,15,"UK Prime
Minister Boris and"
2020-04-05,The UK Prime Minister  Boris Johnson is admitted to hospital for testing after his coronavirus symptoms persist.,11,"The UK Prime
Minister Boris is"
2020-04-05,"Scotland's Chief Medical Officer Catherine Calderwood resigns from her post after she is pictured visiting her second home, despite urging Scots to stay at home and avoid all but essential travel.",7,"Scotland's
Chief Medical from"
2020-04-06,UK Prime Minister Boris Johnson is admitted to an Intensive Care Unit as his coronavirus symptoms worsen.,3,"UK Prime
Minister Boris is to"
2020-04-22,UK human COVID-19 vaccine trials start.,20,"UK human
COVID-19 vaccine"
2020-04-23,The UK begins human testing for COVID-19 vaccine in Oxford.,17,"The UK begins
human testing in"
2020-04-30,UK Prime Minister Boris Johnson claims that the UK are 'past the peak' of COVID-19.,13,"UK Prime
Minister Boris claims"
2020-05-01,US president Donald Trump claims there is evidence that COVID-19 originated in a Chinese lab.,9,"US president
Donald Trump is"
2020-05-02,"Regulators in the US begin to allow the use of experimental antiviral drug Remdesivir for treatment of patients with COVID-19, with studies showing the drug can cut recovery time by 31%.",5,"Regulators in
the US begin to"
2020-05-11,UK Prime Minister Boris Johnson says a COVID-19 vaccine is not guaranteed.,1,"UK Prime
Minister Boris says a"
2020-05-21,Trials of two anti-malarial drugs to see if they can prevent COVID-19 infection begin in the UK.,23,"Trials of two
anti-malarial to"
2020-05-23,"British Prime Minister Boris Johnson defends senior advisor Dominic Cummings decision to travel to Durham during march, despite widespread outrage over Cummings actions.",19,"British Prime
Minister Boris"
2020-05-25,"UK Prime Minister Boris Johnson's Chief Aide Dominic Cummings defends his lockdown breaking actions, despite widespread criticism.",15,"UK Prime
Minister Boris Chief"
2020-06-05,"UK makes masks compulsory on public transport, starting June 15th, 2020.",11,"UK makes masks
compulsory on"
2020-06-19,UK Chief Medical Officers suggest that the threat level should be lowered to Level 3.,7,"UK Chief
Medical Officers that"
2020-06-19,"UK Ministers accused of playing down the pandemic after it was revealed the UK death count exceeded 1000 for 22 consecutive days, significantly higher than the figures given to the public during the government's daily briefings.",3,"UK Ministers
accused of down"
2020-06-23,"WHO urges for a rapid increase in production of dexamethasone, a drug proven to reduce mortality from coronavirus.",20,"WHO urges for a
rapid increase"
2020-06-24,"Volunteers in the UK, Brazil and South Africa begin to receive injections of vaccine developed by Oxford University.",17,"Volunteers in
the UK, Brazil"
2020-06-29,Lockdown reimposed on Leicester after surge in local infections.,13,"Lockdown
reimposed on after in"
2020-07-10,UK rejects offer to join the EU's coronavirus vaccine programme.,9,"UK rejects
offer to join the"
2020-07-13,Wearing face masks in shops to become compulsory in the UK from the 24th July.,5,"Wearing face
masks in shops to"
2020-07-16,"UK claims that Russia has hacked UK, USA and Canadian organisations developing a coronavirus vaccine.",1,"UK claims that
Russia has UK,"
2020-07-20,Major breakthrough in the search for a vaccine as  vaccine from the University of Oxford found to provide immunity.,23,"Major
breakthrough in the for"
2020-07-22,US agrees to pay Pfizer $2bn to receive 100million doses of a Covid-19 vaccine by December.,19,"US agrees to
pay Pfizer $2bn"
2020-07-28,Twitter restricts Donald Trump Jr's twitter account for spreading misinformation on covid-19.,15,"Twitter
restricts Donald Trump"
2020-07-30,UK imposes local lockdown on a number of areas in the North of England.,11,"UK imposes
local lockdown on a"
2020-07-31,"UK reverses decision to ease lockdown further on Saturday, postponing the reopening of casinos and bowling alleys for at least two weeks",7,"UK reverses
decision to ease"
2020-08-05,Facebook and Twitter remove social media content from Donald Trump which claimed that children are 'almost immune' to coronavirus.,3,"Facebook and
Twitter remove"
2020-09-09,UK bans gatherings of more than 6 people over fears about a second wave.,20,"UK bans
gatherings of more 6"
2020-09-12,Oxford University resumes vaccine trial.,17,"Oxford
University resumes"
2020-10-12,"UK announces a new three-tier system for covid restrictions in England, with many regions in the North of England immediately entering the higher tiers of restrictions.",13,"UK announces a
new three-tier"
2020-10-12,Johnson and Johnson temporarily pause trials due to unexplained illness in the study.,9,"Johnson and
Johnson pause due"
2020-10-16,"UK Foreign Secretary, Dominic Raab, claims Russia is trying to sow seeds of confusion over UK vaccine.",5,"UK Foreign
Secretary, Dominic"
2020-10-19,Chief scientific advisor warns that the UK won't get a covid-19 vaccine until spring.,1,"Chief
scientific advisor warns"
2020-10-20,"UK to try the first coronavirus 'challenge trials', infecting young people with the virus to speed up vaccine development.",23,"UK to try the
first 'challenge"
2020-10-23,AstraZeneca resumes vaccine trial in the US after it was paused on the 6th September after a UK participant suffered a serious neurological illness.,19,"AstraZeneca
resumes vaccine in"
2020-10-31,"UK announces 4 week national lockdown in England with non-essential retail closed and pubs and restaurants closed except for takeaways. Schools, universities and courts will remain open.",15,"UK announces 4
week national"
2020-11-09,Pfizer announces that its vaccine is 90% effective.,11,"Pfizer
announces that its is"
2020-11-20,"UK Health Minister, Matt Hancock, states that Pfizer vaccine could be rolled out from next month.",7,"UK Health
Minister, Matt that"
2020-11-23,UK Government says it hopes to innoculate all those most at risk from Covid-19 by Easter.,3,"UK Government
says it hopes to"
2020-11-24,UK announces plans that families can bubble in three-household groups from the 23rd-27th December for Christmas.,20,"UK announces
plans that can in"
2020-11-28,UK secures another 2 million doses of the Moderna vaccine while more than 150 people are arrested in London at an anti-lockdown protest.,17,"UK secures
another 2 million"
2020-12-01,BioNTech/Pfizer and Moderna file for EU approval of Covid-19 vaccine.,13,"BioNTech/Pfizer
and Moderna EU"
2020-12-02,European Medicines Agency criticises the UK's decision to approve the Pfizer/BioNTech vaccine arguing that the UK has prioritised speed over public faith in the vaccine.,9,"European
Medicines Agency the"
